MAp,eps,omegah2,xf
8.423772661253e-02,2.147569519891e-04,1.200000000000e-01,1.860000000000e+01
8.299302163435e-02,2.118906355208e-04,1.200000000000e-01,1.860000000000e+01
8.176670854002e-02,2.090625751836e-04,1.200000000000e-01,1.860000000000e+01
8.055851556922e-02,2.062722603807e-04,1.200000000000e-01,1.860000000000e+01
7.936817497723e-02,2.035191873305e-04,1.210000000000e-01,1.860000000000e+01
7.819542297554e-02,2.008028589749e-04,1.210000000000e-01,1.860000000000e+01
7.703999967339e-02,1.981227848900e-04,1.210000000000e-01,1.850000000000e+01
7.590164902020e-02,1.954784811978e-04,1.210000000000e-01,1.850000000000e+01
7.478011874883e-02,1.928694704782e-04,1.210000000000e-01,1.850000000000e+01
7.367516031965e-02,1.902952816832e-04,1.220000000000e-01,1.850000000000e+01
7.367516031965e-02,1.916776136148e-04,1.200000000000e-01,1.850000000000e+01
7.258652886549e-02,1.904931219544e-04,1.190000000000e-01,1.850000000000e+01
7.258652886549e-02,1.892411259654e-04,1.200000000000e-01,1.850000000000e+01
7.151398313733e-02,1.868356094448e-04,1.200000000000e-01,1.850000000000e+01
7.045728545092e-02,1.844606703672e-04,1.200000000000e-01,1.850000000000e+01
6.941620163401e-02,1.821159200509e-04,1.210000000000e-01,1.850000000000e+01
6.839050097452e-02,1.798009747550e-04,1.210000000000e-01,1.850000000000e+01
6.737995616941e-02,1.775154556164e-04,1.210000000000e-01,1.850000000000e+01
6.638434327426e-02,1.752589885881e-04,1.210000000000e-01,1.840000000000e+01
6.540344165370e-02,1.730312043774e-04,1.220000000000e-01,1.850000000000e+01
6.540344165370e-02,1.742881276015e-04,1.200000000000e-01,1.850000000000e+01
6.443703393248e-02,1.733226447759e-04,1.190000000000e-01,1.850000000000e+01
6.443703393248e-02,1.721834999405e-04,1.200000000000e-01,1.840000000000e+01
6.348490594731e-02,1.701042868482e-04,1.210000000000e-01,1.850000000000e+01
6.254684669940e-02,1.680501814294e-04,1.210000000000e-01,1.840000000000e+01
6.162264830770e-02,1.660208804945e-04,1.210000000000e-01,1.840000000000e+01
6.071210596282e-02,1.640160845156e-04,1.220000000000e-01,1.840000000000e+01
6.071210596282e-02,1.652075206296e-04,1.200000000000e-01,1.840000000000e+01
