# relic_survival_map.py, alphaD=0.5, direct detection only (best2026)
# every row has Omega h^2 = 0.1204 by construction; dd_covered=0 means no experiment reaches that mchi
# the _cenuns columns fold in the PandaX-4T S2 CEvNS recast; the allowed set is alphaD independent
R,MAp,eps,eps_ddlimit,ratio,dd_covered,allowed,eps_ddlimit_cenuns,ratio_cenuns,dd_covered_cenuns,allowed_cenuns
5.0353846154e-01,3.4909181152e-02,4.8395632630e-06,2.3643393675e-05,2.0468987360e-01,1,1,2.3643393675e-05,2.0468987360e-01,1,1
5.0353846154e-01,3.7050487912e-02,5.1380465389e-06,2.6638737245e-05,1.9287875741e-01,1,1,2.6638737245e-05,1.9287875741e-01,1,1
5.0353846154e-01,3.9323141054e-02,5.4549389689e-06,3.0135606616e-05,1.8101307993e-01,1,1,3.0135606616e-05,1.8101307993e-01,1,1
5.0353846154e-01,4.1735197281e-02,5.7913759499e-06,3.4246045803e-05,1.6911079262e-01,1,1,3.4246045803e-05,1.6911079262e-01,1,1
5.0353846154e-01,4.4295207488e-02,6.1485629049e-06,3.9029379215e-05,1.5753678456e-01,1,1,3.0481310850e-05,2.0171582958e-01,1,1
5.0353846154e-01,4.7012247078e-02,6.5277796024e-06,4.4150864933e-05,1.4785168110e-01,1,1,2.6387815792e-05,2.4737854978e-01,1,1
5.0353846154e-01,4.9895948132e-02,6.9303847414e-06,4.9986724897e-05,1.3864450523e-01,1,1,2.4053300717e-05,2.8812614215e-01,1,1
5.0353846154e-01,5.2956533557e-02,7.3578208195e-06,5.0794820373e-05,1.4485376197e-01,1,1,2.1769224791e-05,3.3799186192e-01,1,1
5.0353846154e-01,5.6204853327e-02,7.8116193014e-06,5.0532922178e-05,1.5458475316e-01,1,1,1.9814930916e-05,3.9422894455e-01,1,1
5.0353846154e-01,5.9652422947e-02,8.2934061059e-06,5.0776397789e-05,1.6333191142e-01,1,1,1.8872495227e-05,4.3944406960e-01,1,1
5.0353846154e-01,6.3311464273e-02,8.8049074312e-06,5.3278496881e-05,1.6526193392e-01,1,1,1.8085883289e-05,4.8683867358e-01,1,1
5.0353846154e-01,6.7194948846e-02,9.3479559402e-06,5.5221075699e-05,1.6928239484e-01,1,1,1.7714522869e-05,5.2770012543e-01,1,1
5.0353846154e-01,7.1316643869e-02,9.9244973263e-06,5.7227242252e-05,1.7342260322e-01,1,1,1.7719989906e-05,5.6007353158e-01,1,1
5.0353846154e-01,7.5691161018e-02,1.0536597285e-05,5.9327986667e-05,1.7759910419e-01,1,1,1.8040776617e-05,5.8404344274e-01,1,1
